"기준_년분기_코드","행정동_코드","행정동_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20231","11170625","한강로동","81","317","188","97","124","27","","30","132","50","58","30","453","72","780899618"
"20232","11170625","한강로동","81","317","188","97","124","27","","30","132","50","58","30","453","72","780899618"
"20233","11170625","한강로동","81","317","188","97","124","27","","30","132","50","58","30","453","72","780899618"
"20231","11170630","이촌1동","133","201","295","555","204","320","","","4","1","","8","1562","120","1448413885"
"20232","11170630","이촌1동","133","201","295","555","204","320","","","4","1","","8","1562","120","1448413885"
"20233","11170630","이촌1동","133","201","295","555","204","320","","","4","1","","8","1562","120","1448413885"
"20231","11170640","이촌2동","80","531","260","31","2","","1","15","29","156","301","55","267","61","541443092"
"20232","11170640","이촌2동","80","531","260","31","2","","1","15","29","156","301","55","267","61","541443092"
"20233","11170640","이촌2동","80","531","260","31","2","","1","15","29","156","301","55","267","61","541443092"
"20231","11170650","이태원1동","70","221","95","109","85","101","4","41","55","105","106","44","256","98","632786445"
"20232","11170650","이태원1동","70","221","95","109","85","101","4","41","55","105","106","44","256","98","632786445"
"20233","11170650","이태원1동","70","221","95","109","85","101","4","41","55","105","106","44","256","98","632786445"
"20231","11170660","이태원2동","169","589","320","83","132","77","16","167","295","191","98","51","383","81","436270648"
"20232","11170660","이태원2동","169","589","320","83","132","77","16","167","295","191","98","51","383","81","436270648"
"20233","11170660","이태원2동","169","589","320","83","132","77","16","167","295","191","98","51","383","81","436270648"
"20231","11170685","한남동","414","1046","592","255","266","918","1","95","154","218","239","296","2074","112","1309674189"
"20232","11170685","한남동","414","1046","592","255","266","918","1","95","154","218","239","296","2074","112","1309674189"
"20233","11170685","한남동","414","1046","592","255","266","918","1","95","154","218","239","296","2074","112","1309674189"
"20231","11170690","서빙고동","158","463","283","69","162","171","1","42","30","28","67","82","898","82","931218213"
"20232","11170690","서빙고동","158","463","283","69","162","171","1","42","30","28","67","82","898","82","931218213"
"20233","11170690","서빙고동","158","463","283","69","162","171","1","42","30","28","67","82","898","82","931218213"
"20231","11170700","보광동","144","653","216","18","12","","","1","2","20","67","147","662","53","751925365"
"20232","11170700","보광동","144","653","216","18","12","","","1","2","20","67","147","662","53","751925365"
"20233","11170700","보광동","144","653","216","18","12","","","1","2","20","67","147","662","53","751925365"
"20231","11200520","왕십리2동","69","320","285","92","4","","21","90","67","22","41","149","311","70","474130064"
"20232","11200520","왕십리2동","69","320","285","92","4","","21","90","67","22","41","149","311","70","474130064"
"20233","11200520","왕십리2동","69","320","285","92","4","","21","90","67","22","41","149","311","70","474130064"
"20231","11200535","왕십리도선동","108","455","555","124","24","","56","127","171","41","10","41","712","70","658527615"
"20232","11200535","왕십리도선동","108","455","555","124","24","","56","127","171","41","10","41","712","70","658527615"
"20233","11200535","왕십리도선동","108","455","555","124","24","","56","127","171","41","10","41","712","70","658527615"
"20231","11200540","마장동","125","921","405","55","50","12","151","343","304","140","126","218","161","57","313147656"
